text,labels
I remember being so scared once school got out and not having a schedule or a job.,3
Deciding wether or not to return back to school,5
my MIriam quit. I'm concerned for her because its a medical issue but it made me frazzled a bit.,8
"Sorry im ranting, ive been cleaning my room and digging up my past, which sucks, and ive just been reminded of a whole lot that i didnt want to remember..",0
i have been juggling staffing issues and project deadlines all week.,3
My fajitas came out burnt!,4
trying to divorce as soon as possible,6
i got fight with my boss. reason is she is very dominate.,3
my sister is pissing me off. and,6
i am going through a custody battle for my daughter.,6
I just have a lot of stresses in my life right now.,2
i had a mistake in implementing a new update to the system today morning,3
"The nausea and so on I'm gonna have to say is from lack of sleep, stress and being a bit sick.",8
ehhhh I need to get my hold lifted tomorrow so I can register for classes.,5
being back at work,3
"work has bee rough, we are short staffed and busy.",3
"I really should be working on homework, but I just have a hard time bringing myself to do it.",5
i'm just going through a lot.,0
"Some things honestly are not worth your energy, nor the time of day of the other person involved.",4
"However, customizing the Start Menu is now a big pain.",3
School is fucking killing me.,5
"Now im slipping in everything, math.. i would be studying for my final today i just couldnt concentrate.",5
"Of course, after I got home, something set me off and I got really depressed.",0
All of the COVID-19 happenings and the financial fallout that has happened as a result.,7
I have been stressed about COVID-19!!,8
mt criminal charges,1
i didn't have the income that i expected to have for my bills,7
i can't seem to catch up on my medical bills.,7
I'm am having much stress.,2
I'm sick of working and planning and long-term goals.,3
being at home alone with a newborn.,6
He cheated on my mom.,6
this supervisor is getting on my last nerve!,3
"im so stressed out, i just dont have time for extra work.",3
"On a bad day I assume it's brought on by frustration, depression, angst and a sense of futility.",0
Just I've been having tons of mood swings and it sucks cause I end up hurting someones feelings and then I feel even worse.,0
a person i know is manipulating money owed.,7
i have so much stress and what not right now its unremarkable.,2
"work has been rough, my coworkers are not doing all of their job.",3
due to peer pressure and anxiety of not being accepted by the people i call friends.,4
I'm worried about my dog cos I found a tumor on her.,0
i have been soooo tired and no matter what i just can't seem to get the sleep i need.,8
my husbands affair has left us with a pregnant girl that is  a jerk.,6
I seriusly have nothing to eat and I'm too lazy and broke to go out and get something. maybe for dinner.,7
I've been feeling really self consious about myself lately.,0
I've just been really worried about getting my essay done on time :(,5
I starting to feel a more or less stress over my assignments and it's kind of like I've completely no space for myself.,5
i'm so stressed out about school. i just turned in a paper that i don't feel good about.,5
I dont even get any medicine to take away the pain.,8
ive taken my final but think i may have failed it.,5
the ppl at work are driving me nuts,3
I get super stressed up when I can't meet deadlines.. and that happened alot.,3
i have had trouble with my computer at work,3
school is angering me lately.,5
i dont know how long to boil potatoes for,1
a lot of work pressure in my office,3
i've been looking for a new job and can't find one.,3
"So I became bitter, wondering WHY my life couldn't just mend itself whenever necssary.",1
Hi. I've been stressing about making money.,7
My friend situation has been killing me lately.,4
i feel like i don't have enough time to myself.,2
"everything at work, just generally what is expected of me.",3
"Lorraine, who I work with, her son does not have money saved up.",7
"There's so much I need to vent about, or gossip about, or just let out.",0
worried about being laid off from my job,3
I'm greatly concerned about defunding Police.,2
I have been losing games.,2
I'm still sick! I fear work may not happen tomorrow.,3
i am stressed out over getting our old house all packed up.,1
"i predict no one will read this. because i don't have alot of ""friends"" on here.",4
"There's been no letter, no phone call, nothing, which means I have no way to show people that yes, I AM FUCKING DISABLED.",8
the postdoc in my lab is creepy,4
I don't know what to do for the remaining hours of today.,1
i hate my job and haven't heard back from recent job applications i have submitted,3
Coronavirus has been stressing me out due to being in furlough,3
"She's too busy, and also claims I upset her boyfriend with my mere presence in their vicinity.",4
i am having difficulty finding motivation to study,5
"I am a stay-at-home mom with a toddler, this coronavirus thing has me scared for her.",6
"Too much masculinity, and he doesn't need women at all, not on the deepest level.",4
i have been sressing about not getting enough hits on turk,7
my mother in law is annoying me so much,6
work is getting me down,3
you are what has been stressing me out friend,4
I'm trying to finish a load now and it's just not working out.,3
if they are in a group with their friends I clam up and won't talk to them.,4
"i have just been stressed about work, thanks for asking.",3
I've been concerned about the Wuhan Flu.  I afraid some of my liberal friends might cath,4
The coronavirus and how its impacted businesses and the economy,7
Worrying about my parents getting sick,6
"I make the doctors appointments, I schedule everything that goes on, I'm so sick of playing mom lately.",6
I'm terrified of social relationships not based in some way upon music.,4
School and graduating on time,5
"He hasnt worked for a week because his schedule was screwed up, so he has had extra time to study.",3
I worry all the time about completing my assignments.,5
The craziness surrounding the coronavirus and not knowing what's going to happen,0
i've been really stressed about sean's anxiety lately.,4
I think a lot of it is probably stress.,2
i struggle with this daily.,1
"Couldn't even say friend, 'cause we barely ever spoke. I get the nosiness from my mom and",4
"due to the corona virus, i must stay home. it means i get no salary",4
The coronavirus pandemic has been really giving me a lot of stress and anxiety.,8
alot of stress at work.,3
"Our house will be under major renovation soon, thus had to box up my stuff.",2
"Iam affraid i have a social problem of some sort , i cant exspress my emotions for my friends.",4
Same stress and hecticness as always.,1
My grades in school weren't the best and I'm terribly afraid of fucking up those classes.,5
i have been so stressed trying to get over this broken ankle.,8
i'm cooking dinner for the inlaws tonight.  why bother they hate me?,6
"So when that machine has problems, as now, work is impossible.",3
hmmm. let me think about that. this conflict with iran worries me.,0
money problem is big problem,7
the situation that has been stressing me out is work it's crazy,3
my child needs help in school and my husband's hours were cut,6
Fear about the virus and my job.,3
"i miss her a lot now that i dont see her very often, and it makes me kind of sad.",4
my job. it has 0 application for the shit i do for it,3
there is not enough to do around here i am worried that i might lose my job,3
work always has to come before relaxation,3
money situation,7
I'm sick of having insecurities within myself about my friendships.,4
It was embarrassing to drive and I was constantly worried about getting a ticket.,1
Overwhelmed stressed which makes me have no appetite and worried I unable to clear all the work loads.,0
"on top of that, I am even more frightened to think that my family will end it for me.",6
school has been too much for me lately.,5
"I think it was I wasn't getting enough sleep and then I got some sleep last night, so my body is like in overload.",8
it really feels like my family is a mess sometimes,6
Q. You've been having trouble going to sleep.,8
"Today started off kind of bad because I didn't get to finish my physics homework and I fell asleep on it last night, which is why I overslept today.",5
"I must be more tired than I thought, though - I'm constantly fucking things up today.",1
"It's the loan that's holding everything else up, which is highly frustrating.",7
"I'm so tired though, I wanna sleep but I don't.",8
"It is sad that I have allowed myself to get so upset over school, my parents, my friends, that I have become sick.",6
i need to get my homework done but i don't have a lot of time,5
"its really sad that when i come home, before i even arrive at my house, my dad and i get in a fight.",6
"My mom was expressing a deep resentment of Mrs. Grier today, and what she appears to be doing to me.",6
work is really getting me down.,3
Worrying about the future due to the COVID-19 virus.,0
upcoming follow up visit to doctors,8
"i work 60 plus hour weeks, i'm stressed beyond belief.",3
The corona virus is really stressing me out with the sheltering in place.,8
I have a problem sleeping and thats annoying.,8
This corona virus thing is so crazy! How are you and the family holding up?,4
I am really upset that I am unable to visit my 95-year-old mother in the nursing home.,6
"and I guess my dog is having major problems, that makes me sad.",0
Being quarantined due to coronavirus.,4
"stressing about my upcoming taxes, since i don't know how much i'll have to pay.",7
i have been stressed about my credit card debt.,7
"I can't afford my car insurance as it is, let alone if the rates went up.",7
"The constant pain bothered me and considering that several coworkers have been sick with flu, swine flu, and strep throat, I thought that maybe I had something.",8
"Anyway I have been having some fucked up days, I have been having some really bad headaches and I never get them.",8
Parents have this awful habit of fucking up their kids already pathetic lives.,6
"Hi! How are you? Been good, but getting bored being inside all the time!",2
I'm stressed out about COVID-19 and its' impact on the US.,1
i had difficulty making burritos,1
dealing with my lawyer,4
The coronavirus and all its effecs,0
recently i bought a house and there so many things to do like unpacking a ton of stuff.,2
"I'm always having to do something, or I get home so late that all I have time for is dinner before going to bed.",8
I'm so fed up with stuff in my life.,0
I have been kinda spaced out for the past week.,2
I'm finding being back at school quite hard.,5
School is soon and i need to make fucking sure i have everything straigh so i can start.,5
You can get very upset when you are frustrated.,0
my back muscles now ache from the overuse.,8
"my boss yelled at me, and i didn't do anything wrong.",3
I haven't been feeling great about this whole coronavirus situations. I'm very nervous.,0
"When you cry at watching Ladder 49 because she loses the love of her life, imagine if that acutally happened to you.",2
I need to stop being mean to my brothers and sisters.,6
"Its sucks im so worried because i cant afford the art book and the mid term is next thursday, stupid money.",7
my brother is in JAIL.,6
school's stressing me out.,5
i have this ever growing pity for people who are in relationships that ruin their friendships.,4
"my parent's broke up cause ""mom was sick"".",6
I'm stressed about my family getting sick,8
"Sometimes I still get frustrated, because I feel like I am getting ditched a lot.",4
"It's pretty scary.. ok there's abit of money coming in from here and there, but compared to what papa's been getting, I think we're gonna have to cut back alot.",7
"I think we have a dinner meeting scheduled, but I'm not sure what time or what's going on with that. I miss my friends. Monday night",4
"balancing work, life, & budget",3
i am so sick of my job.,3
The corona virus has been stressing me out.  It has affected our business.,3
Oh yea I have been dealing with the ex not wanting to come and pick the kids up .,4
"I need to find a job, I have to make tons of money before I go away.",7
"My phone lost service and we filled the tub with cold water, sticking our feet or hands in it every so often.",2
A lot of shit has happened to me since. I still haven't gotten my car fixed.,2
"This coronavirus. I mean, how long will it last? What do I do?",0
"Told my landlady that I wasn't impressed with her ""lease addendum"" and would not sign it.",2
me and my wife lost our jobs,3
I'm tired of putting my heart and my feelings on the line and then get hurt all over again.,0
I'm just kinda fed up with work at the moment so I don't know how much I'll be doing today.,3
I have to upload a video of myself giving a speech,5
"Lately, I've been feeling like my emotions conflict with my actions a lot.",0
"I know that there is a lot going on with the whole house situation, but he seems hard core stressed.",2
the thing is i'm insanely nervous about the course work.,5
"i lost my job three weeks ago, and am stressed about money.",3
I guess moving in and trying to find work during a hiring freeze,7
"In bad news, my pain levels suck, I'm getting worse again, and job stress and depression have really hit me hard.",8
So I'm feeling sick and have bad back cramps. Plus,8
"my friend brandi hardly has the decency to return phone calls so, whatever",4
"I just feel generally melacholy about my life, and i don't know exactly how to face up to the day.",1
It is sad to think a new week is coming up and there are new things to worry about!,1
I have major problems and I need to figure out how to deal with them.,0
"Well, obviously, I gained some weight in the middle.",2
I need to give it a serious thought cause this new job is just shitting me and I'm not getting the money that I thought I would.,3
"It's not due till Monday, but I MUST GET A B on this stupid paper so I can get a B in the class, maybe even an A.",5
My marriage is the pits. So abusive but I don't have a way to get out,6
i went to pick up medicine and my insurance was denied.  i tried to call the company,7
My knee's a goddamn mess and I've been struggling too much with this binge shit to do it.,8
"Each time I have to tell someone I don't have a job yet, I feel that much more defeated.",3
I am not having any luck with my job search.,3
i have been sick so i feel so behind,0
just found out he's been talking to his ex girlfriend. a lot. probably planning on getting back with her once i leave. and,4
What if it is your husband or wife that cheats on you?,6
What happened To all the tear and screams I alreay went through Theres always More just waiting To crush me I'm feeling This idea Breaking,0
"I'm all busy detatching because I think it's gonna be something like I can't keep this up, which is what I'm feeling.",0
"I'm just about tired of people getting, or staying in relationships they don't deserve.",4
Patients do seem a bit more pissy when stressed by the holidays.,2
I am stressed out about the coronavirus.,8
"Here it is, you probably caught me at the most stressful, confusing, emotional, and mind bending part of my life.",0
i have been so stressed about work load.,3
"since my mom and I got in that big fight, i couldn't",6
Although I feel bad spending it all on food.,7
a problem at work,3
omg... what isnt.,2
Upper management just won't listen to my ideas to make things better.,3
I just found out that one of the people on my friendslist died in a car accident.,4
"Well, it's my work.  It has been so hectic lately due to deadlines.",3
just money honestly! you know how it is,7
i'm sorry about your frustrations at work!,3
"So, as I'm trying to go to sleep at night my mind starts to wonder until it is tired.",8
having a baby is stressful and currently out of a job.,6
I'm didn't see my therapist this week due to money.,7
Like it's my fault there is no money.,7
do you have time to talk,4
Finances. The reduced hours at work have me scrambling for cash.,3
i feel so worried about the situation an i will try to compromise her.,0
It seems like my whole life is falling apart ... again ... and I need to get shit straightened out.,0
i've been trying to get pregnant and still nothing,6
school cause so much information.,5
"have been trying to clean and organize my closet, what a mess!",1
my parents' health has been stressful for them and me.,6
"The pandemic, it is making me very anxious",2
It's been really hard for me lately and especially school.,5
I'm feeling so lost in life is my biggest problem.,0
Major shit is going down between my parents and me currently.,6
Currently stressing about the COVID-19 as I have been unemployed for two weeks.,7
"In addition to that, I'm having a serious problem in my relationship with Elise.",4
The conversion of in person to online classes,5
"We all have such contrasting schedules, it's kind of hard to find time to practice.",4
i called out of work and i am feeling very guilty about it.,3
You know my daughter lives in NYC and I m concerned about her.,6
Recently I have been super stressed that I'm losing someone who is very special,6
what has stressed me out was trying to get a certain amount of turk done.,3
i have been having a hard time dealing with a problem at work. can you give me advice,3
I'm so worried about getting sick or my husband getting sick.,8
"School is stressful, and very busy.",5
Take into consideration my exhausting semester... but I'm still worried.,5
reports i need to finish at work,3
my kids are not listening!,6
"My attitude sucks and that is why I find my self haveing all these terrible and painful problems, not just in romantic relations, but in all aspects of my life.",4
Not knowing if my job is secure.,3
I am having issues with my parents.,6
I can't stop feeling anxious and angry that I'm being told I can't do it one I reach my expiry date.,0
I had a nightmare about being back at work.,3
Work has been super stressfull lately,3
"I'm a worrywart. I mean, really. I'm due to take a placement test for the school I hope to get into.",5
The pandemic,8
work has been crazy busy and i don't feel like i have as much influence as i would like.,3
my boss. he is an asshole,3
i need to be doing well in school but man am i slacking.,5
"I feel their pain, though in a different way, because it's just as bad for us Depression People.",0
"The pandemic, hoarding, stupidity of people",8
"i haven't really spent much time with my dad lately, and i know he's been kinda disappointed in me lately.",6
my grades and a course that i really cant handle right now.,5
separation from my husband,4
my classes have been really stressing me out.,5
I am very stressed out about the coronavirus-19.  I haven't been able to check my parent,6
"it seems like this year is goin by so slow, and i have a shit job, so that doesnt help.",3
ugh paying my medical bills for this month,7
Laura has not been able to let me drive because she has been very sick and in the hospital even.,4
money! i shouldn't have loaned to family when things are so tight,6
money issues and job availability; there never seems to be enough of both.,7
i've had a lot of work lately and i don't have any time to get everything done.,3
"It's annoying because mostly it hits in the middle of the workday, where I can't do a whole fuck of a lot with it. I need to find focus.",3
work is driving me nuts. just a lot of last minute stuff,3
my mom started crying and she said it hurts that my sister didnt go to her for this kinda stuff.,6
i am worried about finances.,7
Shit get hard and stresses me out and it's so hard to get by and right now I'm just trying to relieve the stress and get through it all.,0
being hit on by coworker,3
I just feel that people demand so much out of me that i dont have time to be me and live my life the way i want to.,4
"my mom was sick basically all last week so i had to help take care of her, and on top of that i was sick again too.",6
my child has been misbehaving.,6
possibly being short of money,7
Being quarantined in my home because of a widespread infectious disease...,0
my school work has been the main thing stressing me out.,5
the situation in the middle east. im worried about my husband potentially being deploy.,4
I was dissatisfied with what I'd just spent ages planning.,1
my daughter is spending way too much money and causing me financial stress.,6
i have so much to do and i'm always scared i'm forgetting something.,0
raising a  teenage girl  can be stressful,6
I have been having a hard time at work and very unhappy.,3
I always get so darn stressed about things.,0
The daily ups and downs.,1
work is really getting to me.,3
trying to get a raise,3
all my new work duties,3
The kids called last night and Devin seemed really sad and I hate the fact I'm not there.,6
I am under a lot of deadlines at work.,3
I've felt like I'm just going through the motions of life and it's just not good enough.,0
working part time job,3
My reduced hour at work due to this pandemic crisis.,3
everyday is getting harder.,1
"I am panicking, I receive zero income during this Coronavirus pandemic. Idk what to do!",3
hey thanks for asking how im doing. for the most part kids and worrying their health,6
Our school is so bad with scheduling.,5
My boyfriend is having a hard time with his family.,4
I just didn't have enough money to cover my expenses.,7
My mom gets mad at me really easily and my family is probably moving soon which means I need to find a place to live soon.,6
"It's been really crazy.. last week of school so all the teachers are cramming last minute information into our heads, and tons and tons of homework.",5
everything stresses me out lately.,1
i couldnt finish it in time so i just didnt go to school.,5
seeing people not practice social distancing at the stores,2
"I've got lots of work, and no motivation to do it.",3
I'm so stressed out.. I can't pay my rent.. cause i'm not working over time..,7
i have been stressed about making new friends,4
i am stressed about planning the thanksgiving meal,4
"I've been bummed out lately at work, mostly by my own inability to get motivated and self-manage.",3
i have been worried about finances.,7
i've been losing my touch with reality and everyday is just getting worse and worse.,0
"I am really trying! School is getting crazy busy with tests, papers, probes, research, all that junk.",5
This whole corona virus thing has me pretty stressed,8
"Currently, my schedule is really hectic for me.",1
"If I do land a job, it's going to be a harsh reality, waking up before noon.",1
the amount of work i have.,3
my decision to go back to school,5
not being able to work at all has me stressed out.,3
"hi, recently i've been stressed with my workload from school and work with little time.",5
i have my economics final on monday and i haven't studied!,5
ive been very confused about everything lately in my life and what ive wanted and what i need.,0
i have a situation with a coworker i can't figure out how to best address.,3
The corona virus and quarantine,2
It's hard to focus on school during school.,5
"They make me really sad, and they make me realize that things are really fucked up.",0
"Lately school's been a drag. I've been doing much better,but it's been stressing me out, hardcore.",5
"The whole 'winter' thing is kinda putting a cramp on my style though, damn you short days and freezing cold steel.",2
work is doing my head in,3
The financial part of it all is crappy because I am basically getting nothing for my old car.,7
all the craziness going on in the country right now,2
It's a good kind of busy except I've been bringing work home and I think it's hurting my relationship. Craps!,4
Being able to find food and goods for my family.,6
"as i'm applying to nursing schools, there's so many applicants i hope i get in.",5
Looking for a Job,3
My depression when my parents started to fight.,0
"work's been pretty tough lately, the manager has been giving me a lot lately.",3
kids are sick so i had to miss work again,6
WORRYING ABOUT EXPOSURE TO COVID AT THE HOSPITAL WHERE I WORK,3
work is very exhausting i need a break or need a vacation,3
After feeling very angry and upset with my mom.,6
stressing,2
School and my job. I need to not lose my job right now,5
i have had some issues at work.,3
"Back hurts, stomach hurts, I have a stomach ache.",8
It has definitely put me through a lot of emotional stress.,0
the corona virus has me feeling very isolated and anxious!,2
I can't support my family on going home early.,6
I've been stressed out lately though because I live in the house of transition and co-worker stress.,3
"No more than three hours after finally picking something to major in I'm already getting shit about it. """,5
"All the fun had stopped when I got home and got into a fight with my mom over not calling her, etc.",6
i just lost my job and am now doing job interviews.,3
"still her mother worried, for her to face this day alone.",6
Work has been stressing me out. I am scared I will loose my job and not work,3
feeling insecure about my short hair,2
"due to awkwardness and activity and break and such, i haven't been intimate with him in over 2 weeks.",4
My abnormal psych class alone requires hours of effort outside of our weekly meetings.,5
i may have broken my toe.,8
Ok I don't know why I even started updating cuz I'm to tired to type.,2
i'm stressing out about bills. how about you?,7
I had a stressful week at school.,5
Having a social life sucks.,4
i just kinda miss a lot of things lately and i find my self pondering the what if's haha.,0
"Ne, so I am kinda sad and tired because my family doesn't want me around anymore.",6
"i made a big bet on the game tonight and lost, now i have to pay the bookie.",7
I am having trouble motivating myself this semester.,5
a lot of things! where to start?!,2
"Kisha had a rough weekend, seeing as how her grandpa passed away.",6
too much work time not enough me time,3
my relationship with a long term friend has changed drastically and idk how to fix it,4
The relationship stuff going on with Nathan.,4
"Plus I was in the ""wellness center"" today and it brought back painful memories.",0
"I've been really busy, obviously, because of school starting.",5
I'm crying because I know this is going to hit my family hard when they've already been through so much.,6
"I can't make it through school, I cause my family problems and I can't keep a man in my life.",5
i'm becoming very depressed about not getting a job.,3
I think I'm gaining weight tho.,8
"my daughter threw a major tantrum on monday night, screaming and crying",6
"i am selling my house, but so far there have been no offers.",1
i don't have enough time to cook so i spend too much money on restaurants,7
"it seems that part of my life is quite depressing, and full of anger.",0
hey! work has been stressing me out,3
I failed my test,5
i've been super stressed out at work lately.,3
work,3
my husband and i got into a really big fight and now we are not on talking terms,6
my husband has been so busy lately that we never spend quality time together anymore.,4
my truck broke down last week and i didn't have the money to buy the parts for repair,7
I'm going to need more money than financial aid and loans provided me.,7
i would be stressful,2
my boss refuses to give me a straight answer about when a project is due,3
Looks like i have problems at home,6
i dont know if i will have enough money for december rent.,7
"i need money, i'm so poor.",7
The corona virus affecting my family in a negative way.,6
what to cook,1
i am sick of husband not understanding and people avoiding me because they don't understand.,4
There just isn't enough time in the week and the day to work on me.,3
I am frustrated with an aspect of my job.,2
My mom is freaking out about it and it's really pissing me off.,6
I am feeling shitty and lonely.,0
my water line to my toilet froze up during this cold spell.,1
ive been so bored lately and i need people to entertain me.,2
my job isn't paying me enough to make ends meat.,7
i'm not making as much money as i would like.,7
"sales are down, no $$$ :(",3
I am going insane trying to finish my speech that I'm due to give in like three hours.,2
I am stress about all the stuff going on in my life.,2
just stuff with work,3
oh my goodness friend i want to make dinner! i i want a sadwhich but im out of bread!!!,2
work has been slow and that is taking a toll on the bills lately.,3
my husband is stressing me out. he lost his job and he's been home waay to much!!,0
work is stressful and planning for the upcoming wedding next year!,3
Grad school applications are making me headachey.,5
i have a lot of upcoming deadlines at work,3
and i'm trying to get off the medication i've been on for FOUR YEARS and i'm scared shitless. actually beyond shitless.,8
The current pandemic that is going on.,2
the bad thing is that i have to go to school all this week because of this stupid gym crap.,5
Yes I have bad habits and yes my weight needs help.,8
it hurts our relationship because it's always serious and he's never in a good mood.,4
"My roommate has lost his job, and isn't able to pay full rent.",7
i can't seem to find a job,3
my dog is missing.,6
I didn't sleep well or long enough and my back is kinda sore.,8
"trying to get into a position at work so i can advance, but having a hard time.",3
"Between all this emotional stress and like the unsurmountable amounts of stress due to school, I am dieing.",5
The Cover pandemic has been stressing me out,8
I am stressed over the stay at home order from the governor.,8
my relationship is a problem.,4
my relationship with one of my very dear friends has not been at its best,4
christmas is coming very fast at work and we're so busy all the time and we're still understaffed.,3
"idk, maybe im overreacting, but im sad ya know, a lot of my friends are going far away.",4
"Along with not affording it, I don't think I'm ready to move out.",7
"i need to go home and get some sleep, but i can't seem to relax.",8
So yeah. I got alot of stressfull things going on in my life right now.,2
my boss keeps giving me busy work to act like he's a boss,3
i need someway to get more money.,7
My life is orbiting around things I have no control over and I'm about to crash hard into something.,0
I'm kinda distraught and no one is here to talk to.,0
Lately theres been so much going on I feel like I've lost who I am.,0
I'm in so much trouble with my mom.,6
I can barely walk and I still have to go to school because of my stupid final.,5
work has just been crazy lately.,3
I run into a wall of fear when I try to become adept and knowledgeable at things in school and step out at possible job opportunities.,5
i've had to start looking for a new job,3
I lost my job as a result of my sister not paying the home loan.,7
So I was supposed to use this weekend to study for the exam I have to retake.,5
Been in love. Cheated in a relationship Woke up crying.,4
I've been experiencing a lot of migraines lately.,8
Latley i have been pretty scared about life and where i will end up and stuff.,0
my friend was died in road accident,4
"I know that sounds really horrible, but because I've been lacking in that, my health is suffering.",8
I'm tired of being stressed out.,0
I'm kinda sad about working full time,3
I feel stressed. I am looking into jobs for after I graduate.,3
"homework, what are they doing at school if they are doing so much here.",5
i am off work due to surgery and i dont have income,3
"God, I am so nervous I'm going to make the wrong decision with where to go to school.",5
I've been so stressed out about figuring out my next move.,0
i want to finish my paper,5
paying off my debts,7
so anyways today sucked....sometimes i don't understand myself.... when my life sucks so much why do i even try??,0
"Latly i've just been feeling sick, and like sad and all that good stuff.",0
blame it on anxiety to go back to school.,5
She told she's scared and worried about me and my health.,8
Financial problems have been getting me down lately.,7
I feel bad about not updating...but I have been busy and tired.,8
my roommate has been being more distant towards me and i'm not sure if he's mad at me.,4
This goddamn quarrantine man.,2
family coming for a visit. they have special diets-i am nervous about cooking.,6
"I don't know, I miss a lot of people a lot more than I thought I did before I thought about things I missed too much.",4
trying to find a job,7
Dammit i really need a job so I can get some money.,7
selling my house,4
"yesterday i felt sorta sick, headache and tummy ache.",8
"Its made my relationships with people very strained, and I dont like it.",4
my family has been stressing me out. i'm ready to come back to campus,6
I'm tired. I'm tired all the time and I don't know why.,8
i just moved to arizona from california. i don't know what to do job wise.,3
The Covid-19 Virus affecting our world where we can't go outside.,8
i'm not sure how to start saving money.,7
i am going through a legal situation at my job.,3
"Finally, I am irritated that I couldn't remember everything I wanted to post....",2
Hey my friend! I need to talk to you about a situation tthat's urgent.,2
my roommate wants to bring a fridge but there isn't room for it.,2
I'm feeling conflicted about doing Melissa's pictures this week.,1
I'm depressed and now my friends are complaining because of it.,0
Things are tough at home for my Mum.,6
its been getting so stressful lately and i have all these essays and shit do i cant fucking do it,5
The fact that we are out of work because of Corona,3
The virus outbreak and aftermath have made it hard to find another job.,3
He's been sick for a long time and in the hospital for the last several months.,4
I'm all stressed about traveling up there and getting back in time for classes.,5
i have so much to keep track of but can't stay organized.,1
"Ok, I've been up on too little sleep too long, and the Bad Influence is telling me to get to bed.",8
I feel so lonely and scared.,0
"I'm losing control of my emotions and my thoughts, and it scares me.",0
I can't believe my wife put pasta in the chilli..,6
"My sleeping schedule is horrible, It has been months since I have had a steady sleeping routine.",8
i dont think i could sit in this house all day doing nothing.,2
it sucks having to work and go to school all the time during the week.,3
trying to get this house set up,1
his girlfriend broke up with him.,4
"Everything is changing, nothing is stable, nothing makes sense, and I have way Too Much To Do, all the time. AND",0
His health began to rapidly deteriorate when well intentioned but overbearing regulations were set in place.,8
school starting back has me anxious. i have some hard classes coming up,5
It's hard to put into words the different emotions and thoughts that run through my head on a daily basis.,0
I have my first exam in grad school in two weeks.,5
It has just been really hard and it is frustrating not having a solution.,1
This COVID mess in the world,2
I don't know how this is going to be accomplished as of yet because I don't have money and I'm extremely uncoordinated.,7
"He's been fighting himself this past week, each time saying it's over, then extending the deadline by a week.",2
i feel awful cause i dont know what to do. spend time with my mom or with matt cook.,4
my step kids show absolutely no respect,6
Everything that whole day was like serious and stressful and REAL.,2
i've been really stressed about my job because they might close down.,3
"it sucks because i'm pretty much busy all the time from now on, argh.",2
i've been swamped with homework and school projects.,5
my work schedule has changed due to the coronavirus and it is hard,3
things at work has been getting a little crazy.,3
financial uncertainty and the stress it creates.,7
recently i have been stressed about finding a job that values me as an individual.,3
i got a new boss who is a jerk,3
Working with people who are sick,3
stressed about my poor weight loss efforts.,8
"I hate looking for jobs, I ruined my credentials and theres nothing to consider about me.",3
Very nervous about going back to work.,3
"I felt so sick today and my mom wouldn't come pick me up, goddamn, suck my ass.",6
i am stressed about getting my application decisions,5
"Ok. I am officially frustrated with being here, and sick and tired of doctors not listening to me and not even communicating with each other.",8
"One thing we all agree on is that we have to support the troops, and that the risk of terror attacks is higher due to this war.",2
that's just because I so couldn't afford how much I spent.,7
My girlfriend has been bugging me. She's always anxious and it's stressing me out.,4
And that I wake up with an upset stomach and a headache when I think about going to work.,8
I have been most recently about finances and if everything will be ok or not.,7
"Being a hypochondriac and also because I was sick on Monday, I've been worried about my health all week",8
i dunno i guess i am just too emotional about certain things.,0
i would say work is very stressful lately. the pressure to meet stats is difficult,3
"being a caregiver for a sick family friend, i feel like i have no time to myself",4
i just don't know how i'm going to get through these rough last days when i'm already gone from here in my mind.,0
i've been having car problems lately and worried i would need to find another car.,7
About our course mate who passed away in a tragic car accident.,4
"I was speaking with my dad in the morning, and he really doesn't like to talk.",6
i've been having issues completing my thesis.,5
"Our stove is unuseable, so I don't know what to have for dinner.",1
not knowing what i want to do with my life.,1
"Yeah, I haven't been sleeping well and that could be part of all the weird feelings this past week.",8
I found out my dad Is losing his job.,6
"I have no money, I'm in debt.",7
It just reinforces how depressed and alone I really feel.,0
The projection of the Coronavirus on the U.S. and the world. I need to work.,3
"Tonight, dinner wasn't ready when I got home and I had to make it.",2
nervous about work,3
hi. just struggling a little bit with work,3
"so tomorrow, my life ends a lot.",0
WELL OF COURSE IT WOULD ONLY BE THE CORONUS VIRUS SITUATION GOING ON. BEING SEPARATED FR,8
"I mean, I'm starving by this point and my brain is pissed at me and demands food if I refuse it sleep.",8
"My hours prevent me from going at normal, after work, times.",3
it is stressful now a days i am going through the test reading all the time,5
"I kept losing track of how that last one goes, and trying to write it up was a serious pain.",2
I have problem at work,3
I am very stressing about to stay home for a long time,4
living with my parents for now calls for a perilous commute.,6
"i'm still waiting for my food stamps to hit, they are overdue how am i gonna eat",7
i hate how im 13 no 11 years old max when my parents look at me.,6
i am trying to balance my finances with the hobbies i want to partake in.,7
all the drama involving my case.,3
she was cring about how Maranda is sick and how her mom does not treat her right and all that cal.,6
"My sleeping schedule is alll fucked up, and it looks like I'm sick now too.",8
thinking about work i should be doing,3
"Additionally money is a really big issue, and it keeps making me soo tense.",7
a coworker has been really cold with me recently and it makes work uncomfortable.,3
I have to have dinner with the family tonight and that takes a LONG time.,6
I need to find a work from home job that isn't a scam.,3
Its just been hard coming to terms with losing a friendship that I had no say in.,4
Being stuck at home with two other people and having no privacy.,4
I know it will  be too stressful today but we don't want to let stress take over us,1
well... my job is very stressful and i feel like i need to find a new one right away.,3
